SAMEA num,"sampleID (ENA, PANGAEA)",sampleID (IMIS),run accession MG,run accession 18S,run accession 16S
SAMEA3275580,OSD62_2014-06-21_0.2m_NPL022,OSD62_2014-06_NPL022_1,ERR770985,ERR867695,ERR867696
SAMEA3275581,OSD61_2014-06-21_0.5m_NPL022,OSD61_2014-06_NPL022_1,ERR770986,ERR867697,ERR867698
SAMEA3275582,OSD60_2014-06-19_0.1m_NPL022,OSD60_2014-06_NPL022_1,ERR770987,ERR867699,ERR867700
SAMEA3275583,OSD58_2014-06-21_1m_NPL022,OSD58_2014-06_NPL022_1,ERR770989,ERR867704,ERR867703
SAMEA3275584,OSD57_2014-06-24_0m_NPL022,OSD57_2014-06_NPL022_1,ERR770990,ERR867706,ERR867705
SAMEA3275585,OSD56_2014-06-24_0m_NPL022,OSD56_2014-06_NPL022_1,ERR770991,ERR867708,ERR867707
SAMEA3275586,OSD55_2014-06-21_1m_NPL022,OSD55_2014-06_NPL022_1,ERR770992,ERR867709,ERR867710
SAMEA3275588,OSD54_2014-06-21_1m_NPL022,OSD54_2014-06_NPL022_1,ERR770993,ERR867712,ERR867711
SAMEA3275590,OSD53_2014-06-21_1m_NPL022,OSD53_2014-06_NPL022_1,ERR770994,ERR867714,ERR867713
SAMEA3275591,OSD52_2014-06-21_1m_NPL022,OSD52_2014-06_NPL022_1,ERR770995,ERR867716,ERR867715
SAMEA3275598,OSD51_2014-06-21_2m_NPL022,OSD51_2014-06_NPL022_1,ERR770996,ERR867717,ERR867718
SAMEA3275600,OSD50_2014-06-20_0m_NPL022,OSD50_2014-06_NPL022_1,ERR770997,ERR867719,ERR867720
SAMEA3275601,OSD49_2014-06-21_2m_NPL022,OSD49_2014-06_NPL022_1,ERR771000,ERR867726,ERR867725
SAMEA3275602,OSD48_2014-06-21_0m_NPL022,OSD48_2014-06_NPL022_1,ERR771001,ERR867728,ERR867727
SAMEA3275603,OSD47_2014-06-21_0m_NPL022,OSD47_2014-06_NPL022_1,ERR771002,ERR867730,ERR867729
SAMEA3275604,OSD46_2014-06-21_0m_NPL022,OSD46_2014-06_NPL022_1,ERR771003,ERR867731,ERR867732
SAMEA3275605,OSD45_2014-06-22_0m_NPL022,OSD45_2014-06_NPL022_1,ERR771004,ERR867733,ERR867734
SAMEA3275607,OSD43_2014-06-21_0m_NPL022,OSD43_2014-06_NPL022_1,ERR771005,ERR867735,ERR867736
SAMEA3275608,OSD42_2014-06-21_3m_NPL022,OSD42_2014-06_NPL022_1,ERR771006,ERR867738,ERR867737
SAMEA3275609,OSD41_2014-06-21_1m_NPL022,OSD41_2014-06_NPL022_1,ERR771007,ERR867740,ERR867739
