sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD143_2014-06-21_1m_NPL022,OSD143_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD143_20140621T1845Z ,OSD143_2014-06
OSD144_2014-06-24_0m_NPL022,OSD144_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD144_20140624T0608Z ,OSD144_2014-06
OSD145_2014-06-21_0m_NPL022,OSD145_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD145_20140621T1045Z ,OSD145_2014-06
OSD146_2014-06-21_5m_NE08,OSD146_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD146_20140621T0542Z ,OSD146_2014-06
OSD146_2014-06-21_5m_NPL022,OSD146_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD146_20140621T0542Z,OSD146_2014-06
OSD147_2014-06-21_0m_NPL022,OSD147_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD147_20140621T0533Z ,OSD147_2014-06
OSD148_2014-06-21_0m_NPL022,OSD148_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD148_20140621T0845Z ,OSD148_2014-06
OSD149_2014-06-21_0m_NE08,OSD149_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD149_20140621T1440Z ,OSD149_2014-06
OSD149_2014-06-21_0m_NPL022,OSD149_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD149_20140621T1440Z,OSD149_2014-06
OSD15_2014-06-21_0m_NPL022,OSD15_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD15_20140621T0730Z ,OSD15_2014-06
OSD15_2014-06-21_50m_NPL022,OSD15_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD15_20140621T0730Z,OSD15_2014-06
OSD150_2014-06-21_0m_NE08,OSD150_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD150_20140621T1500Z ,OSD150_2014-06
OSD150_2014-06-21_0m_NPL022,OSD150_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD150_20140621T1500Z,OSD150_2014-06
OSD151_2014-06-21_0m_NE08,OSD151_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD151_20140621T1430Z ,OSD151_2014-06
OSD151_2014-06-21_0m_NPL022,OSD151_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD151_20140621T1430Z,OSD151_2014-06
OSD152_2014-06-20_10m_NPL022,OSD152_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD152_20140620T1650Z ,OSD152_2014-06
OSD152_2014-06-20_1m_NE08,OSD152_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD152_20140620T1554Z ,OSD152_2014-06
OSD152_2014-06-20_1m_NPL022,OSD152_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD152_20140620T1610Z ,OSD152_2014-06
OSD152_2014-06-20_5m_NPL022,OSD152_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD152_20140620T1630Z ,OSD152_2014-06
OSD153_2014-06-21_0m_NPL022,OSD153_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD153_20140621T1015Z ,OSD153_2014-06
